eye: 혀, 아이, 나무, 하나, 사람
between: 하나, 보기, 곳, 보다, 뉴스
because of: 하나, 보다, 보기, 뉴스, 곳
this: 이, 나무, 새, 하나, 사람
that: 하나, 보다, 이, 곳, 나무
everything: 하나, 나무, 든, 곳, 보다
I: 아이, 이, 하나, 든, 우리
you: 하나, 나무, 사람, 너, 아이
thou: 하나, 하다, 든, 곳, 나무
he: 보기, 하나, 보다, 든, 우리
we: 우리, 하나, 든, 나무, 재
they: 하나, 아이, 나무, 둘, 우리
what: 하나, 곳, 나무, 보다, 든
who: 하나, 나무, 사람, 보다, 우리
where: 곳, 하나, 거리, 보기, 보다
where ... to: ...것같다, 보기, 곳, 하나, 거리
how: 보다, 하나, 곳, 나무, 가지
why: 하나, 나무, 보다, 보기, 곳
how much: 보다, 하나, 곳, 나무, 보기
one: 하나, 나무, 곳, 든, 둘
two: 하나, 곳, 나무, 둘, 천
three: 하나, 나무, 곳, 든, 둘
four: 하나, 곳, 나무, 든, 천
five: 하나, 곳, 든, 나무, 보다
six: 하나, 곳, 든, 나무, 천
seven: 하나, 든, 곳, 나무, 보다
eight: 하나, 곳, 든, 나무, 보다
nine: 하나, 든, 곳, 나무, 보다
ten: 든, 하나, 천, 곳, 보다
eleven: 하나, 든, 곳, 나무, 보기
twelve: 하나, 든, 곳, 나무, 새
twenty: 든, 하나, 곳, 나무, 보다
thirty: 하나, 든, 곳, 하다, 나무
forty: 든, 곳, 나무, 하나, 보기
fifty: 든, 하나, 보기, 곳, 나무
sixty: 2분의, 하나, 곳, 든, 나무
seventy: 하나, 곳, 든, 2분의, 보기
eighty: 2분의, 하나, 든, 곳, 나무
ninety: 든, 하나, 곳, 하다, 나무
a hundred: 하나, 보다, 곳, 보기, 하다
a thousand: 하나, 곳, 보다, 하다, 나무
and: 보다, 하나, 보기, 뉴스, 상품
or: 하나, 보기, 보다, 곳, 뉴스
stand: 나무, 든, 하나, 곳, 손
sit: 곳, 하나, 나무, 든, 사람
hang: 나무, 곳, 하나, 든, 사람
become: 하나, 곳, 보기, 보다, 든
happen: 하나, 든, 하다, 곳, 사람
begin: 사람, 나무, 늘, 하나, 곳
change: 하나, 나무, 새, 사람, 보기
rise: 하나, 나무, 든, 보다, 하다
set: 나무, 새, 둘, 거리, 사람
shine: 하나, 든, 나무, 하다, 보다
blow: 나무, 하나, 든, 혀, 둘
stream: 하나, 나무, 보기, 곳, 사람
flow: 나무, 하나, 거리, 곳, 사람
revolve: 나무, 든, 곳, 하나, 거리
sway: 나무, 곳, 든, 하나, 둘
swing: 나무, 곳, 든, 하나, 혀
fall: 나무, 하나, 든, 새, 혀
burn: 나무, 든, 곳, 하나, 혀
freeze: 나무, 하다, 사람, 하나, 거리
thaw: 하다, 곳, 하나, 나무, 든
melt: 하나, 나무, 든, 곳, 하다
boil: 하나, 나무, 하다, 든, 곳
rot: 나무, 곳, 거리, 사람, 색
decay: 나무, 하나, 곳, 사람, 거리
snap: 나무, 곳, 하나, 든, 사람
sink: 나무, 곳, 든, 혀, 하나
pass: 하나, 나무, 곳, 사람, 둘
appear: 하나, 보다, 사람, 둘, 곳
disappear: 하나, 나무, 곳, 든, 사람
decrease: 보기, 하나, 거리, 보다, 사람
increase: 하나, 나무, 보다, 보기, 사람
grow: 나무, 곳, 하나, 든, 보다
sparkle: 나무, 든, 하다, 혀, 하나
be noisy: 하나, 하다, 보다, 곳, 보기
chime: 나무, 하나, 든, 하다, 곳
tinkle: 든, 하다, 나무, 하나, 곳
roar: 든, 나무, 하나, 하다, 곳
rustle: 나무, 하다, 하나, 혀, 든
howl: 하다, 나무, 하나, 보다, 곳
whistle: 하나, 나무, 든, 곳, 혀
shout: 하나, 나무, 든, 곳, 둘
groan: 하나, 든, 나무, 곳, 하다
tremble: 든, 나무, 하다, 하나, 곳
be alive: 하나, 보다, 하다, 보기, 곳
be born: 하나, 보다, 보기, 곳, 든
breathe: 하나, 든, 곳, 나무, 보다
drink: 든, 하나, 나무, 곳, 사람
eat: 든, 곳, 하나, 보다, 나무
swallow: 나무, 든, 하나, 곳, 혀
get tired: 보기, 하나, 나무, 곳, 보다
fall asleep: 하다, 나무, 하나, 보다, 보기
wake up: 하나, 나무, 든, 하다, 곳
get up: 하나, 곳, 나무, 보기, 든
relax: 하나, 나무, 둘, 곳, 사람
fall ill: 하다, 나무, 하나, 든, 곳
be ill: 하나, 보기, 보다, 든, 곳
ache: 하나, 하다, 나무, 든, 혀
cough: 하나, 혀, 곳, 하다, 든
recover: 하나, 나무, 보다, 사람, 새
die: 보기, 하나, 나무, 곳, 사람
perish: 하나, 나무, 사람, 곳, 보기
move: 나무, 하나, 보기, 거리, 새
budge: 든, 하나, 나무, 곳, 하다
stand up: 나무, 곳, 든, 하나, 보다
sit down: 곳, 하나, 든, 보기, 나무
tumble: 나무, 든, 하나, 곳, 하다
pace: 하나, 든, 보기, 곳, 나무
go for a walk: ...것같다, 하다, 보기, 곳, 보다
rush: 나무, 든, 곳, 하나, 혀
hurry: 하나, 든, 하다, 나무, 곳
dash: 나무, 하나, 든, 곳, 하다
run: 나무, 든, 하나, 사람, 거리
jump: 나무, 하나, 사람, 든, 곳
climb: 클, 나무, 든, 곳, 하나
seesaw: 나무, 하나, 곳, 새, 보기
creep: 나무, 거리, 하나, 사람, 곳
swim: 든, 나무, 곳, 하나, 혀
dive: 하다, 든, 하나, 나무, 곳
drive: 나무, 하나, 곳, 보다, 보기
go: 하나, 나무, 곳, 하다, 든
go away: 곳, 하다, 하나, 나무, 든
depart: 하나, 곳, 든, 보기, 나무
stop: 나무, 사람, 하나, 늘, 곳
go in: 하나, 곳, 하다, 보다, 나무
enter: 하나, 보기, 곳, 나무, 든
come: 하나, 보다, 보기, 곳, 하다
arrive: 나무, 하나, 든, 하다, 거리
come back: 하나, 보기, 보다, 하다, 곳
stay: 곳, 든, 보다, 늘, 하나
wait: 하나, 사람, 나무, 곳, 둘
wait for: 하나, 와, 곳, 나무, 사람
seek: 하나, 보다, 나무, 곳, 사람
look for: 보기, 하나, 곳, 보다, 나무
find: 하나, 보기, 나무, 사람, 곳
try: 보기, 하나, 사람, 보다, 나무
prepare: 하나, 나무, 보다, 사람, 새
love: 하나, 든, 나무, 사람, 곳
like: 하나, 나무, 보기, 곳, 뉴스
laugh: 하나, 나무, 하다, 보다, 곳
weep: 하다, 나무, 곳, 하나, 든
grumble: 나무, 곳, 혀, 든, 사람
be annoyed: 하나, 하다, 보다, 보기, 곳
be afraid: 하나, 하다, 보기, 보다, 곳
be afraid of: ...것같다, 하나, 보기, 보다, 곳
flee: 보기, 하나, 든, 하다, 나무
escape: 나무, 하다, 하나, 든, 곳
see: 보기, 하나, 보다, 뉴스, 새
look at: 보기, 하나, 곳, 보다, 나무
watch: 보기, 든, 하나, 뉴스, 곳
hear: 하나, 든, 보다, 곳, 보기
listen: 하나, 보기, 든, 하다, 보다
taste: 하나, 든, 곳, 보기, 나무
smell: 나무, 하나, 곳, 혀, 든
feel: 하나, 보다, 늘, 곳, 나무
seem: 하나, 둘, 곳, 보기, 나무
show: 나무, 보기, 사람, 새, 하나
be cold: 하나, 보다, 곳, 보기, 든
do: 하나, 나무, 든, 곳, 사람
can: 하나, 나무, 든, 찬, 곳
want: 하나, 곳, 보다, 나무, 사람
start: 나무, 사람, 하나, 거리, 늘
finish: 나무, 하나, 곳, 사람, 든
succeed: 하나, 나무, 든, 하다, 사람
turn out: 하나, 하다, 보다, 나무, 곳
close: 보기, 하나, 뉴스, 사람, 보다
put: 곳, 하나, 나무, 사람, 둘
lay: 곳, 나무, 하나, 든, 교회
touch: 나무, 하나, 거리, 사람, 곳
connect: 하나, 사람, 곳, 나무, 보기
hang up: 하다, 나무, 곳, 하나, 든
pick up: 곳, 하나, 나무, 든, 보기
leave: 하나, 나무, 보기, 곳, 뉴스
lose: 하나, 곳, 보다, 나무, 둘
make: 하나, 나무, 사람, 늘, 보다
produce: 보다, 나무, 하나, 곳, 보기
build: 나무, 사람, 곳, 든, 보다
mend: 하나, 든, 나무, 곳, 사람
improve: 하나, 나무, 보다, 곳, 보기
alter: 나무, 하나, 새, 사람, 곳
dig: 나무, 하나, 하다, 곳, 든
bend: 든, 하나, 나무, 하다, 곳
spin: 나무, 하나, 곳, 든, 사람
turn: 나무, 하나, 사람, 곳, 거리
turn around: 하나, 곳, 나무, 보다, 보기
raise: 하나, 나무, 보다, 거리, 둘
lift: 나무, 곳, 하나, 차, 거리
seize: 하나, 보기, 하다, 곳, 나무
hold: 하나, 나무, 곳, 보다, 든
press: 뉴스, 하나, 나무, 보기, 교회
push: 나무, 하나, 사람, 거리, 가지
scrape: 나무, 든, 새, 하나, 곳
lick: 곳, 하나, 나무, 든, 혀
bite: 혀, 하나, 든, 나무, 보기
tear off: 나무, 하나, 곳, 든, 하다
cut off: 나무, 곳, 하다, 하나, 든
tie: 나무, 하나, 하다, 혀, 곳
break: 하나, 나무, 거리, 하다, 곳
knock: 든, 나무, 하나, 곳, 둘
hit: 곳, 하나, 나무, 하다, 든
glue: 나무, 곳, 둘, 혀, 하나
rub: 곳, 나무, 하나, 든, 손
spread: 하나, 나무, 보다, 곳, 든
grind: 나무, 곳, 든, 그, 거리
cut: 나무, 곳, 든, 하나, 사람
jolt: 나무, 든, 하나, 곳, 사람
shake: 나무, 든, 하나, 하다, 곳
pour: 보기, 하나, 곳, 보다, 든
fill: 나무, 하나, 곳, 사람, 든
wrap: 나무, 하나, 든, 사람, 곳
carry: 하나, 나무, 하다, 곳, 보다
drag: 사람, 거리, 나무, 하나, 차
pull: 나무, 둘, 하나, 곳, 늘
keep: 하나, 늘, 나무, 곳, 사람
throw: 나무, 하다, 하나, 곳, 사람
catch: 곳, 하나, 든, 나무, 하다
grab: 곳, 나무, 하나, 든, 가지
hide: 보기, 하나, 나무, 곳, 사람
divide: 하나, 나무, 하다, 거리, 든
send: 하나, 나무, 사람, 곳, 새
bring: 하나, 곳, 보다, 나무, 사람
add: 나무, 새, 사람, 하나, 거리
get: 나무, 하나, 새, 늘, 사람
receive: 하나, 보다, 보기, 나무, 늘
take: 하나, 곳, 보기, 나무, 든
choose: 하나, 보기, 나무, 보다, 곳
select: 거리, 나무, 새, 하나, 사람
preserve: 보다, 든, 나무, 보기, 새
hinder: 하나, 하다, 든, 나무, 혀
spoil: 나무, 하나, 하다, 곳, 사람
destroy: 나무, 하나, 사람, 든, 곳
give: 하나, 곳, 보기, 보다, 사람
promise: 하나, 나무, 하다, 사람, 보다
praise: 하나, 든, 곳, 사람, 보기
kiss: 든, 나무, 하나, 혀, 하다
rock: 나무, 곳, 든, 혀, 사람
wake: 나무, 하나, 든, 하다, 곳
guide: 보기, 하나, 나무, 곳, 사람
teach: 하나, 나무, 든, 사람, 곳
instruct: 하나, 보기, 곳, 보다, 나무
bring up: 하나, 보다, 곳, 하다, 나무
lead: 나무, 하나, 곳, 사람, 보다
urge: 하나, 보다, 나무, 보기, 뉴스
let: 새, 보다, 하나, 사람, 이
invite: 하나, 나무, 사람, 보기, 보다
unite: 하나, 든, 보기, 나무, 곳
visit: 보기, 곳, 든, 하나, 나무
meet: 든, 곳, 보기, 하나, 나무
assemble: 나무, 하나, 보다, 하다, 든
play: 든, 나무, 곳, 하나, 보기
sing: 든, 하나, 보다, 곳, 나무
dance: 든, 나무, 하나, 곳, 하다
separate: 하나, 새, 보기, 나무, 곳
rescue: 나무, 든, 하나, 사람, 거리
guard: 나무, 곳, 하나, 사람, 든
protect: 나무, 하나, 곳, 사람, 든
defend: 나무, 사람, 거리, 이, 보다
brawl: 든, 나무, 하다, 하나, 곳
shoot: 나무, 하나, 곳, 든, 둘
win: 든, 나무, 하나, 빈, 곳
annoy: 든, 하나, 곳, 사람, 나무
beat: 곳, 든, 하나, 나무, 하다
kick: 나무, 곳, 하나, 든, 둘
sting: 나무, 든, 곳, 하나, 혀
shove: 하다, 나무, 하나, 곳, 든
steal: 하나, 나무, 든, 거리, 둘
disturb: 거리, 하나, 곳, 사람, 나무
bother: 하나, 나무, 곳, 든, 사람
conceal: 하나, 보기, 든, 나무, 곳
deceive: 보기, 하나, 하다, 든, 보다
cheat: 곳, 나무, 하다, 든, 하나
kill: 나무, 사람, 하나, 곳, 둘
dwell: 든, 하다, 보다, 하나, 나무
gather: 하나, 나무, 곳, 사람, 보다
pick: 하나, 나무, 곳, 든, 사람
hunt: 나무, 든, 곳, 하나, 거리
herd: 나무, 하나, 곳, 사람, 보다
tie up: 하다, 나무, 하나, 곳, 보다
feed: 나무, 곳, 하나, 사람, 책
chop: 나무, 곳, 하나, 하다, 든
ripen: 든, 하다, 하나, 곳, 나무
cook: 든, 나무, 곳, 하나, 사람
bake: 하나, 든, 나무, 하다, 곳
fry: 나무, 든, 하나, 사람, 하다
stir: 곳, 나무, 든, 하나, 혀
knit: 나무, 든, 하나, 곳, 둘
sew: 하나, 곳, 새, 든, 나무
dye: 하다, 나무, 하나, 든, 보다
wash: 하나, 나무, 든, 하다, 곳
wipe: 나무, 하나, 하다, 곳, 사람
rinse: 든, 하다, 나무, 곳, 하나
sweep: 하나, 나무, 곳, 든, 하다
bath: 든, 나무, 하나, 곳, 혀
take off: 하다, 하나, 곳, 보기, 나무
put on: 곳, 하나, 보다, 나무, 든
get dressed: 보다, 나무, 하나, 든, 보기
decorate: 나무, 든, 곳, 하나, 보다
say: 하나, 하다, 든, 사람, 나무
speak: 하나, 든, 나무, 보다, 사람
chat: 나무, 사람, 곳, 차, 하나
ask: 하나, 나무, 사람, 든, 곳
request: 사람, 하나, 나무, 보기, 가지
tell: 하나, 나무, 사람, 든, 곳
convey: 하나, 곳, 보기, 보다, 든
brag: 든, 하나, 나무, 보기, 곳
translate: 하나, 하다, 나무, 보기, 사람
think: 하나, 보다, 든, 나무, 곳
believe: 하나, 든, 보다, 보기, 나무
notice: 보기, 하나, 하다, 나무, 보다
recognize: 하나, 곳, 보다, 사람, 나무
grasp: 나무, 하나, 곳, 거리, 사람
understand: 하나, 보기, 보다, 나무, 곳
learn: 하나, 보다, 보기, 사람, 나무
know: 하나, 든, 곳, 나무, 보다
remember: 하나, 사람, 곳, 든, 나무
forget: 하나, 곳, 나무, 사람, 든
measure: 나무, 거리, 하나, 보다, 사람
calculate: 나무, 하나, 사람, 거리, 늘
read: 보다, 하나, 나무, 사람, 보기
draw: 나무, 하나, 사람, 곳, 든
write: 하나, 보다, 나무, 사람, 거리
own: 하나, 나무, 곳, 우리, 든
buy: 보기, 든, 나무, 보다, 곳
sell: 나무, 든, 보기, 곳, 하나
pay for: 보기, 곳, 보다, 하나, 든
pay: 곳, 나무, 든, 보기, 하나
rule: 나무, 하나, 책, 둘, 사람
endure: 하나, 하다, 나무, 곳, 사람
