eye: oca, viso, asta, idea, fine
fall ill: legare, allora, tentare, sale, pasto
be ill: notte, notare, notizia, mezzo, merce
ache: ago, oca, petto, asta, rete
cough: cava, culla, cima, corno, coda
recover: ago, idea, nero, oca, estate
die: dieci, due, rete, ago, merce
perish: perche, per, perire, percepire, capire
move: ago, idea, oca, sale, due
budge: bordo, bello, baffi, bendare, bollente
stand up: bestia, legare, andare, tentare, orso
sit down: orso, andare, tentare, allora, andata
tumble: tubo, tanto, tossire, tremare, tuffarsi
pace: oca, merce, petto, ago, asta
go for a walk: orso, andare via, andare, a accanto a, bestia
rush: petto, sale, oca, estate, ago
hurry: dare, bello, gusto, bendare, fame
dash: oca, nero, asta, ago, petto
run: ago, oca, sale, idea, nero
jump: ago, oca, sale, idea, petto
climb: slitta, calura, capire, padrone, snello
seesaw: secco, semente, sepolcro, sempre, separarsi
creep: agitare, capire, legare, oscillare, tentare
swim: legare, stormo, capire, padrone, bendare
dive: dito, dare, danno, dente, donna
drive: idea, ago, oca, nero, sale
go: ago, oca, viso, asta, nero
go away: ago, orso, allora, oca, petto
depart: ago, oca, due, petto, come
stop: ago, estate, sale, oca, nero
go in: ago, orso, idea, oca, asta
enter: ago, oca, sale, idea, due
come: come, due, ago, petto, merce
arrive: arrivare, arrampicarsi, arrabbiarsi, restare, strada
come back: come, andare, andata, orso, ago
stay: estate, mare, sale, come, olio
wait: ago, due, idea, sale, oca
wait for: forza, andata, ago, orso, allora
seek: ago, oca, due, sole, estate
look for: andata, orso, andare, forza, allora
find: ago, sale, idea, oca, estate
try: ago, sale, due, idea, oca
prepare: oca, ago, idea, sale, estate
love: ago, oca, grave, estate, fine
like: ago, via, andata, idea, due
laugh: lastra, oca, maestro, asta, allora
weep: petto, ago, olio, grave, oca
grumble: grasso, grano, grigio, grinfia, grande
be annoyed: ago, notte, andare, orso, notizia
be afraid: notte, notizia, andare, orso, notare
be afraid of: andare, orso, andare via, andata, canzone
flee: fame, fumo, fango, fresco, fossa
escape: ago, oca, idea, estate, nero
see: via, ago, idea, oca, due
look at: andata, andare, orso, forza, allora
watch: via, guardare, sale, ago, estate
hear: ago, oca, petto, due, asta
listen: ago, sale, oca, nero, due
taste: tanto, tubo, tomba, tutto, tazza
smell: smussato, tossire, padrone, snello, bendare
feel: ago, come, idea, notare, petto
seem: semente, secco, sempre, separarsi, segnale
show: idea, ago, oca, nero, sale
be cold: notte, notare, andare, orso, notizia
do: ago, idea, oca, asta, petto
can: canzone, ago, idea, orso, andata
want: ago, come, idea, sale, oca
start: ago, idea, oca, testa, viso
finish: sale, idea, ago, estate, fine
succeed: sodo, sacco, sapore, sud, sventolare
turn out: andare, andata, orso, partire, ago
close: via, ago, idea, due, oca
put: ago, oca, sale, due, idea
lay: mare, sole, ago, estate, sale
touch: idea, estate, ago, sale, oca
connect: idea, oca, viso, ago, asta
hang up: padrone, tentare, rubare, rimanere, legare
pick up: sale, andata, orso, padrone, bestia
leave: ago, estate, oca, due, sale
lose: ago, due, sale, petto, sole
make: idea, oca, ago, fine, asta
produce: ago, fine, idea, oca, sale
build: idea, oca, testa, sale, estate
mend: manto, mela, mastro, mese, maturare
improve: imprecare, imparare, imputridire, aspro, supporto
alter: ago, idea, oca, due, estate
dig: ago, petto, oca, olio, mare
bend: bendare, bordo, bello, baffi, bagnato
spin: dio, fine, asta, viso, petto
turn: ago, idea, sale, estate, oca
turn around: andata, orso, andare, ago, allora
raise: ago, due, idea, oca, estate
lift: sale, estate, idea, ago, asta
seize: semente, secco, separarsi, sempre, sepolcro
hold: ago, sale, due, estate, sole
press: estate, oca, sale, ago, idea
push: ago, idea, oca, sale, nero
scrape: scopa, scintilla, scorrere, scavare, oscuro
lick: petto, ago, sale, mare, olio
bite: ago, fine, petto, grave, olio
tear off: rubare, tentare, orso, rimanere, ventre
cut off: sale, padrone, rubare, coprire, bestia
tie: fine, petto, asta, oca, grave
break: ago, sale, estate, idea, oca
knock: snello, bendare, rubare, tossire, legare
hit: ago, sale, oca, idea, estate
glue: slitta, gridare, argilla, radice, testa
rub: rubare, petto, mare, ago, est
spread: sale, fine, ago, estate, oca
grind: grano, grasso, grande, grigio, grattare
cut: sale, fine, estate, oca, petto
jolt: tossire, bendare, zio, radice, gusto
shake: petto, oca, olio, fine, asta
pour: come, sole, via, petto, due
fill: ago, sale, oca, fine, idea
wrap: idea, gridare, oca, ago, sale
carry: ago, sale, estate, idea, oca
drag: ago, oca, sale, petto, estate
pull: ago, oca, sale, idea, petto
keep: ago, estate, oca, sale, fine
throw: ago, idea, sale, due, oca
catch: ago, oca, sale, estate, petto
grab: ago, oca, sale, estate, petto
hide: ago, oca, idea, sale, via
divide: ago, oca, idea, due, petto
send: ago, sale, oca, idea, due
bring: ago, sale, come, due, oca
add: idea, ago, oca, testa, viso
get: ago, idea, oca, sale, estate
receive: ago, due, oca, idea, via
take: due, ago, oca, come, sale
choose: ago, idea, oca, sale, due
select: ago, oca, idea, asta, sale
preserve: idea, oca, viso, ago, fine
hinder: bendare, bordo, baffi, fame, dare
spoil: spuma, spalla, spesso, spazzare, spazio
destroy: ago, idea, oca, sale, petto
give: ago, due, oca, idea, come
promise: ago, idea, oca, nero, asta
praise: prato, primo, prima, salute, trancia
kiss: tossire, baffi, bendare, gusto, dare
rock: fine, sale, estate, petto, grave
wake: oca, ago, petto, asta, grave
guide: oca, idea, ago, sale, asta
teach: rete, radice, notte, secco, aspro
instruct: inverno, incontrare, in alto, in sù, andata
bring up: andata, andare, orso, forza, allora
lead: estate, fine, sale, idea, oca
urge: ago, oca, merce, petto, due
let: letto, località, via, onda, idea
invite: ago, oca, idea, estate, sale
unite: un tempo, unire, unghia, un poco, petto
visit: visitare, sale, via, oca, ago
meet: via, visitare, allora, sale, oca
assemble: idea, ago, oca, sale, petto
play: sale, ago, estate, oca, idea
sing: ago, sale, due, petto, mare
dance: estate, oca, olio, arena, asta
separate: secco, semente, separarsi, sepolcro, sempre
rescue: respirare, respiro, confine, restare, oca
guard: guardare, ago, oca, petto, estate
protect: ago, oca, estate, petto, sale
defend: idea, forza, oca, ago, canzone
brawl: bordo, bello, baffi, bendare, bambino
shoot: ago, sale, estate, petto, oca
win: ago, sale, oca, nero, petto
annoy: annaffiare, guidare, sonno, tonare, levare
beat: petto, olio, sale, estate, oca
kick: sale, petto, ago, nero, olio
sting: stizzire, stare, stella, stretto, stivale
shove: tossire, padrone, rubare, snello, sventolare
steal: oca, ago, rete, viso, petto
disturb: disturbare, restare, confine, destro, guidare
bother: ago, petto, sonno, infermo, orso
conceal: conversare, conversazione, congelarsi, conservare, percepire
deceive: semente, parere, denaro, cieco, canzone
cheat: che, che cosa, pezzo, petto, maestro
kill: ago, oca, guardare, sale, petto
dwell: dito, dare, danno, dente, donna
gather: ago, oca, idea, estate, petto
pick: sale, ago, petto, estate, oca
hunt: petto, oca, estate, ago, sale
herd: legare, orso, padrone, infermo, capello
tie up: padrone, sale, barca, orso, tentare
feed: sale, estate, oca, fine, olio
chop: petto, olio, oca, sale, estate
ripen: riempire, riposarsi, riparare, riuscire, risata
cook: petto, estate, oca, olio, sale
bake: bordo, bello, baco, baffi, bendare
fry: fresco, fame, fetta, fumo, fango
stir: stare, stella, stretto, stizzire, stufa
knit: snello, ragno, bendare, tossire, radice
sew: secco, semente, sempre, separarsi, segnale
dye: dito, dente, danno, donna, dove
wash: sale, petto, estate, fine, ago
wipe: ago, oca, idea, nero, fine
rinse: padrone, rimanere, rinunirsi, risata, ragno
sweep: sodo, sacco, sasso, sapore, solo
bath: bordo, bello, bendare, battello, baffi
take off: andata, orso, forza, allora, ago
put on: andata, orso, andare, forza, aspro
get dressed: allora, ago, idea, sale, forza
decorate: sale, idea, estate, fine, oca
say: ago, come, sale, due, oca
speak: sapore, sodo, sacco, sud, sasso
chat: oca, ago, nero, sale, gridare
ask: ago, oca, idea, asta, petto
request: idea, oca, ago, aria, viso
tell: ago, oca, idea, via, estate
convey: conversare, conversazione, congelarsi, indicare, disturbare
brag: brina, brillare, braccio, bruciare, trancia
translate: oca, nero, viso, idea, asta
think: idea, ago, olio, estate, oca
believe: salute, allora, anello, calura, orso
notice: ago, idea, sale, oca, due
recognize: andata, ago, mento, infermo, orso
grasp: grasso, grano, gru, grandezza, grande
understand: andata, aspro, allora, forza, orso
learn: idea, ago, oca, sale, asta
know: ago, due, sale, petto, idea
remember: ago, due, via, oca, allora
forget: ago, due, sale, oca, notizia
measure: ago, idea, due, sale, oca
calculate: idea, fine, oca, ago, viso
read: ago, idea, sale, oca, via
draw: ago, oca, sale, gridare, idea
write: idea, ago, oca, due, fine
own: ago, idea, oca, estate, sole
buy: sale, via, asta, olio, onda
sell: sale, estate, ago, soldi, idea
pay for: andata, orso, forza, aspro, canzone
pay: due, estate, sale, fare, ago
rule: ago, idea, oca, due, sale
endure: disturbare, restare, indicare, padrone, capire
