eye: حية, صور, تيار, عود, حث
thaw: حية, صور, تيار, حث, نوع
melt: حية, تيار, نوع, عمل, أم
boil: حية, صور, جمع, عود, تيار
rot: حية, نوع, صور, حث, تيار
decay: حية, نوع, ذلك, تيار, جمع
snap: حية, صور, عود, تيار, نوع
sink: حية, صور, عود, نوع, عمل
pass: حية, عود, تيار, درس, نوع
appear: حية, عود, نوع, عدد, صور
disappear: حية, صور, نوع, تيار, عود
decrease: حية, نوع, عدد, تيار, حدث
increase: حية, بلغ, تيار, نوع, حث
grow: حية, صور, تيار, حث, عمل
sparkle: حية, صور, تيار, عود, نوع
be noisy: حية, عود, صور, جمع, عمل
chime: حية, تيار, صور, عود, نوع
tinkle: حية, صور, تيار, وقت, عود
roar: حية, صور, تيار, عود, ذلك
rustle: حية, صور, تيار, عود, نوع
howl: حية, صور, عود, تيار, نوع
whistle: حية, تيار, ذلك, صور, عود
shout: حية, صور, ذلك, تيار, شاء
groan: حية, صور, تيار, ذلك, عود
tremble: حية, صور, تيار, ذلك, عود
be alive: حية, عود, صور, تيار, جمع
be born: حية, عود, جمع, عمل, فر
breathe: حية, صور, تيار, عود, ذلك
drink: حية, عود, جمع, تيار, صور
eat: حية, صور, عود, تيار, حث
swallow: حية, صور, تيار, عود, ذلك
get tired: حية, صور, عود, نوع, جمع
fall asleep: حية, صور, عود, تيار, ولد
wake up: حية, صور, تيار, عود, حث
get up: حية, صور, عود, تيار, حث
relax: حية, ذلك, صور, عود, عمل
fall ill: حية, صور, عود, نام, نوع
be ill: حية, جمع, عود, عمل, فر
ache: حية, صور, عود, تيار, درس
cough: حية, ذلك, تيار, صور, عود
recover: صور, حية, تيار, عود, حث
die: حية, صور, نوع, عمل, درس
perish: حية, صور, نوع, تيار, عدد
move: حية, تيار, عود, عمل, نوع
budge: حية, صور, تيار, عود, ذلك
stand up: حية, عود, صور, نوع, حث
sit down: حية, صور, عود, تل, نوع
tumble: حية, وقت, تيار, عود, صور
pace: حية, تيار, صور, عود, نوع
go for a walk: حية, صور, عود, تيار, عمل
rush: حية, صور, تيار, عدد, عود
hurry: حية, صور, ذلك, تيار, عود
dash: حية, صور, تيار, عود, درس
run: حية, تيار, عمل, حث, بين
jump: حية, صور, تيار, عود, نوع
climb: حية, تيار, صور, عود, ذلك
seesaw: حية, صور, تيار, نوع, عود
creep: حية, صور, نوع, تيار, درس
swim: حية, صور, تيار, عود, حث
dive: حية, ولد, وجد, صور, تيار
drive: حية, تيار, صور, عود, حث
go: حية, صور, تيار, عود, عمل
go away: حية, صور, عود, تيار, حث
depart: حية, صور, تيار, نوع, عود
stop: صور, حية, وقف, حث, تيار
go in: حية, صور, تيار, عود, عمل
enter: صور, حية, تيار, نوع, بين
come: حية, صور, عمل, عود, نوع
arrive: حية, صور, تيار, عود, نوع
come back: حية, صور, عود, تيار, ذلك
stay: حية, صور, تيار, عود, عمل
wait: حية, ذلك, صور, نوع, حث
wait for: حية, صور, نام, عود, نوع
seek: حية, ذلك, صور, عود, تيار
look for: صور, حية, عود, عمل, درس
find: وجد, عمل, صور, نوع, حية
try: حية, عود, حث, تيار, صور
prepare: حية, عمل, صور, حث, عود
love: حية, صور, عود, تيار, أن
like: حية, صور, عود, عمل, نوع
laugh: حية, لا, صور, تيار, عود
weep: حية, صور, عود, تيار, ذلك
grumble: حية, صور, ذلك, تيار, عود
be annoyed: حية, عود, صور, جمع, تيار
be afraid: حية, عود, صور, تيار, حث
be afraid of: حية, صور, عود, صف, تيار
flee: حية, تيار, صور, عود, حث
escape: حية, صور, تيار, عود, ذلك
see: حية, صور, تيار, عود, نام
look at: صور, حية, عود, ذلك, درس
watch: صور, حية, تيار, بدأ, عود
hear: حية, صور, تيار, حث, ذلك
listen: حية, صور, عود, تيار, حث
taste: حية, وقت, صور, عود, تيار
smell: حية, اسم, صور, عود, تيار
feel: حية, صور, عود, عمل, شهر
seem: حية, نام, نوع, صور, جمع
show: حية, صور, تيار, درس, شاء
be cold: حية, عود, عمل, جمع, صف
do: حية, عمل, صور, فر, عود
can: أن, حية, بين, حث, بلغ
want: حية, صور, عود, نوع, عمل
start: بدأ, تيار, نوع, صور, حث
finish: حية, صور, ذلك, نوع, عمل
succeed: حية, درس, صور, ذلك, تيار
turn out: حية, نوع, صور, تيار, عود
close: وجد, حية, ترك, حث, ظهر
put: حية, حث, عود, نوع, صور
lay: حية, صور, حث, عود, شاء
touch: حية, عود, صور, تيار, نوع
connect: تيار, حث, حية, صور, جمع
hang up: حية, صور, عود, علق, تيار
pick up: حية, صور, نوع, عود, تيار
leave: حية, صور, تيار, عود, ترك
lose: حية, صور, ترك, عود, ذلك
make: حية, عمل, صور, عود, نوع
produce: حية, عمل, صور, عود, نوع
build: عمل, حية, نوع, تيار, درس
mend: حية, تيار, صور, عمل, نوع
improve: صور, حية, نوع, تيار, عمل
alter: عمل, حية, نوع, عود, ذلك
dig: حية, صور, ذلك, تيار, عود
bend: حية, تيار, صور, ذلك, حث
spin: نوع, حية, درس, نام, عود
turn: حية, نوع, حث, تيار, صور
turn around: حية, صور, تيار, عود, نوع
raise: فر, حية, ذلك, بلغ, ترك
lift: حية, نوع, صور, تيار, عمل
seize: حية, صور, تيار, نوع, ذلك
hold: حية, عود, حث, ذلك, نام
press: حية, صور, تيار, حث, عود
push: حث, حية, تيار, عمل, صور
scrape: حية, صور, تيار, عود, حث
lick: حية, صور, عود, تيار, نوع
bite: حية, صور, تيار, عود, نوع
tear off: حية, صور, جمع, تيار, عود
cut off: حية, صور, نوع, عود, تيار
tie: حية, تيار, صور, عود, حث
break: حية, عود, ذلك, تيار, صور
knock: حية, صور, عدد, أن, عود
hit: صور, حية, تيار, حث, نوع
glue: حية, عمل, صور, عود, تيار
rub: حية, صور, باب, حث, عود
spread: حية, تيار, صور, حث, نوع
grind: حية, عمل, نوع, صور, تيار
cut: حية, صور, حث, نوع, عود
jolt: حية, تيار, صور, ذلك, عود
shake: حية, عود, صور, شاء, حث
pour: نوع, عمل, عدد, صور, حية
fill: حية, نوع, صور, عود, حث
wrap: صور, حية, نوع, عود, عمل
carry: حية, نوع, صور, عمل, تيار
drag: حية, صور, نوع, عود, حث
pull: حية, صور, تيار, حث, ذلك
keep: حية, صور, تيار, ترك, حث
throw: حية, صور, عود, ذلك, جمع
catch: حية, صور, ذلك, تيار, عود
grab: صور, حية, نوع, باب, ذلك
hide: حية, صور, عود, تيار, نوع
divide: حية, تيار, عدد, عمل, صور
send: حية, صور, تيار, حث, عود
bring: حية, صور, حث, عود, تيار
add: عود, عد, نوع, عمل, حث
get: حية, حث, عود, بلغ, عمل
receive: حية, عود, تيار, صور, عمل
take: حية, صور, حث, عود, عمل
choose: حية, نوع, صور, عود, تيار
select: حية, نوع, عود, اسم, حث
preserve: حية, ترك, صور, تيار, بين
hinder: حية, صور, تيار, ذلك, عود
spoil: حية, صور, تيار, عود, ذلك
destroy: حية, صور, تيار, عود, حث
give: حية, صور, حث, عود, بلغ
promise: حية, صور, عود, تيار, عمل
praise: حية, صور, تيار, قال, ذلك
kiss: حية, صور, تيار, ذلك, عود
rock: حية, صور, نوع, تيار, جمع
wake: حية, تيار, صور, حث, ولد
guide: حية, صور, تيار, عود, درس
teach: حية, صور, تيار, حث, عود
instruct: حية, حث, عود, نوع, صور
bring up: حية, صور, عود, جمع, تيار
lead: حية, حث, تيار, عمل, عود
urge: حية, صور, حث, تيار, عود
let: حية, وجد, ذلك, عود, بلغ
invite: صور, عود, حية, حث, تيار
unite: نوع, حية, صور, تيار, عدد
visit: حية, صور, تيار, عود, عمل
meet: حية, صور, وقع, حث, قام
assemble: حية, صور, تيار, جمع, نوع
play: صور, حية, عمل, تيار, عود
sing: حية, صور, جمع, حث, عمل
dance: حية, صور, تيار, عود, حث
separate: حية, نوع, صور, عود, تيار
rescue: حية, صور, درس, تيار, عمل
guard: حية, صور, عود, ذلك, تيار
protect: حية, صور, حث, تيار, عود
defend: حية, وجد, عود, حث, اسم
brawl: حية, صور, تيار, عود, ذلك
shoot: صور, حية, ذلك, تيار, شاء
win: حية, صور, عود, بين, بلغ
annoy: حية, صور, ذلك, عود, عدد
beat: حية, صور, تيار, درس, نوع
kick: حية, صور, عود, تيار, ذلك
sting: حية, صور, تيار, عود, ذلك
shove: حية, صور, تيار, عود, شاء
steal: حية, صور, درس, ذلك, عمل
disturb: حية, نوع, صور, ذلك, تيار
bother: حية, صور, عود, تيار, ذلك
conceal: حية, صور, نوع, تيار, عدد
deceive: حية, صور, تيار, عود, ذلك
cheat: حية, صور, عود, درس, تيار
kill: حية, صور, ذلك, حث, بين
dwell: حية, وجد, ولد, عود, تيار
gather: حية, جمع, صور, عود, تيار
pick: حية, نوع, صور, عود, ذلك
hunt: حية, صور, تيار, أن, عود
herd: حية, برد, صور, عود, درس
tie up: حية, صور, تيار, عود, نوع
feed: حية, تيار, نوع, جمع, صور
chop: حية, عود, صور, درس, تيار
ripen: حية, تيار, صور, نوع, عود
cook: حية, عود, صور, تيار, جمع
bake: حية, تيار, عود, صور, عمل
fry: حية, صور, تيار, نام, درس
stir: حية, صور, عود, تيار, عمل
knit: حية, صور, سن, عود, أن
sew: حية, صور, نوع, ذلك, تيار
dye: حية, ولد, وجد, برد, تيار
wash: حية, صور, عود, نوع, تيار
wipe: حية, صور, تيار, نوع, عود
rinse: حية, صور, تيار, نوع, عود
sweep: حية, درس, صور, نوع, تيار
bath: حية, صور, ذلك, تيار, عود
take off: حية, صور, تيار, عود, نوع
put on: حية, صور, عود, حث, عمل
get dressed: حية, صور, عود, تيار, حث
decorate: صور, حية, عود, عمل, ذلك
say: حية, صور, حث, قال, تيار
speak: حية, درس, صور, عود, تيار
chat: صور, حية, تيار, درس, عود
ask: صور, حية, قام, وجد, حث
request: تيار, عمل, عود, حث, حية
tell: تل, قال, حية, حث, بلغ
convey: حية, نوع, عدد, عمل, صور
brag: حية, بر, صور, تيار, ذلك
translate: حية, تيار, صور, عود, حث
think: حية, حث, تيار, عمل, صور
believe: حية, صور, عود, تيار, ذلك
notice: حية, صور, عود, نوع, تيار
recognize: حية, نوع, عود, صور, تيار
grasp: حية, صور, تيار, نوع, ذلك
understand: حية, صور, نوع, ترك, تيار
learn: حية, درس, صور, عمل, عود
know: حية, صور, ذلك, حث, تيار
remember: حية, صور, ذلك, عود, بدأ
forget: حية, صور, ذلك, عود, تيار
measure: حية, تيار, نوع, عدد, صور
calculate: عمل, بلغ, نوع, حية, حث
read: حية, عود, صور, تيار, درس
draw: صور, حية, تيار, جمع, حث
write: عمل, صور, حية, تيار, درس
own: حية, صور, عود, عمل, نوع
buy: حية, صور, تيار, عود, نوع
sell: حية, صور, عود, نوع, تيار
pay for: حية, صور, عمل, ترك, وجد
pay: حية, صور, عمل, وقع, ترك
rule: حية, نوع, عود, درس, عمل
endure: حية, صور, نوع, تيار, عود
