eye: 眼睛, 找到, 以为, 得到, 进入
here: 以为, 或者, 找到, 得到, 明白
hither: 以为, 或者, 得到, 找到, 明白
hence: 以为, 或者, 得到, 找到, 给
there: 以为, 或者, 得到, 找到, 出现
thither: 以为, 找到, 或者, 得到, 明白
ahead: 以为, 找到, 得到, 或者, 明白
forward: 得到, 以为, 找到, 理解, 增加
backward: 地点, 找到, 以为, 距离, 离开
below: 找到, 以为, 得到, 或者, 给
down: 以为, 找到, 得到, 或者, 增加
above: 以为, 找到, 得到, 或者, 给
up: 以为, 得到, 找到, 增加, 理解
everywhere: 以为, 找到, 得到, 或者, 给
not: 以为, 找到, 或者, 给, 得到
a little: 以为, 找到, 由于, 或者, 得到
hardly: 以为, 找到, 或者, 硬, 得到
very: 很, 找到, 以为, 得到, 给
so: 以为, 或者, 找到, 得到, 由于
still: 以为, 还, 找到, 或者, 得到
only: 以为, 找到, 给, 得到, 或者
already: 以为, 已经, 找到, 或者, 得到
again: 以为, 或者, 找到, 得到, 给
in vain: 以为, 找到, 地点, 或者, 得到
in front of: 地点, 以为, 找到, 由于, 或者
behind: 以为, 找到, 或者, 得到, 给
under: 找到, 以为, 由于, 得到, 给
through: 找到, 以为, 由于, 给, 得到
next to: 以为, 找到, 给, 得到, 由于
between: 给, 由于, 找到, 以为, 理解
because of: 以为, 由于, 找到, 给, 或者
this: 以为, 找到, 得到, 感觉, 由于
that: 以为, 给, 找到, 由于, 得到
everything: 以为, 找到, 得到, 或者, 感觉
I: 我, 以为, 我们, 由于, 找到
you: 以为, 你, 或者, 你们, 找到
thou: 以为, 或者, 得到, 找到, 明白
he: 以为, 给, 由于, 找到, 得到
we: 我们, 以为, 找到, 或者, 得到
they: 以为, 或者, 找到, 给, 得到
what: 什么, 以为, 找到, 给, 得到
who: 以为, 谁, 或者, 他, 还
where: 以为, 得到, 给, 找到, 或者
where ... to: 以为, 或者, 得到, 给, 找到
how: 以为, 找到, 为什么, 由于, 得到
why: 为什么, 以为, 由于, 找到, 给
how much: 以为, 找到, 为什么, 由于, 或者
one: 以为, 找到, 得到, 或者, 给
two: 找到, 给, 以为, 得到, 由于
three: 找到, 以为, 四, 给, 得到
four: 四, 找到, 给, 以为, 得到
five: 五, 找到, 以为, 四, 十
six: 找到, 以为, 给, 六, 得到
seven: 找到, 以为, 七, 得到, 给
eight: 找到, 以为, 八, 给, 得到
nine: 找到, 九, 以为, 得到, 十一
ten: 十, 找到, 以为, 得到, 给
eleven: 以为, 找到, 得到, 给, 明白
twelve: 以为, 找到, 得到, 给, 十二
twenty: 二十, 十, 找到, 以为, 得到
thirty: 以为, 找到, 二十, 得到, 明白
forty: 找到, 以为, 二十, 得到, 明白
fifty: 以为, 找到, 得到, 进入, 给
sixty: 找到, 二十, 以为, 十, 得到
seventy: 以为, 找到, 得到, 或者, 给
eighty: 二十, 找到, 以为, 十, 八
ninety: 以为, 找到, 二十, 得到, 明白
a hundred: 找到, 以为, 得到, 或者, 给
a thousand: 以为, 找到, 给, 或者, 得到
and: 找到, 以为, 给, 或者, 由于
or: 或者, 找到, 以为, 由于, 给
stand: 以为, 找到, 或者, 得到, 明白
sit: 以为, 找到, 或者, 感觉, 得到
hang: 以为, 挂, 找到, 或者, 得到
become: 以为, 找到, 给, 得到, 或者
happen: 以为, 或者, 得到, 明白, 感觉
begin: 开始, 得到, 理解, 以为, 增加
change: 改变, 增加, 以为, 得到, 理解
rise: 以为, 找到, 得到, 力量, 明白
set: 打开, 增加, 得到, 改变, 理解
shine: 以为, 找到, 得到, 明白, 力量
blow: 以为, 得到, 找到, 或者, 明白
stream: 以为, 得到, 找到, 理解, 由于
flow: 以为, 得到, 找到, 理解, 或者
revolve: 以为, 找到, 得到, 明白, 或者
sway: 以为, 得到, 或者, 打开, 找到
swing: 以为, 找到, 或者, 得到, 增加
fall: 找到, 以为, 感觉, 得到, 一起
burn: 以为, 找到, 得到, 或者, 感觉
freeze: 以为, 得到, 或者, 找到, 增加
thaw: 以为, 找到, 得到, 明白, 或者
melt: 以为, 得到, 找到, 或者, 明白
boil: 以为, 或者, 得到, 找到, 明白
rot: 以为, 得到, 找到, 或者, 给
decay: 以为, 得到, 找到, 出现, 或者
snap: 以为, 得到, 找到, 增加, 或者
sink: 以为, 找到, 或者, 得到, 明白
pass: 得到, 以为, 或者, 理解, 增加
appear: 以为, 找到, 或者, 得到, 出现
disappear: 以为, 或者, 得到, 找到, 明白
decrease: 得到, 以为, 由于, 找到, 增加
increase: 增加, 得到, 找到, 以为, 理解
grow: 以为, 找到, 得到, 增加, 或者
sparkle: 以为, 得到, 找到, 明白, 或者
be noisy: 以为, 或者, 找到, 得到, 明白
chime: 以为, 得到, 或者, 找到, 明白
tinkle: 以为, 找到, 得到, 明白, 或者
roar: 以为, 找到, 得到, 或者, 明白
rustle: 以为, 得到, 或者, 找到, 增加
howl: 以为, 找到, 得到, 或者, 明白
whistle: 以为, 明白, 或者, 找到, 得到
shout: 以为, 得到, 或者, 找到, 明白
groan: 以为, 明白, 找到, 得到, 或者
tremble: 以为, 或者, 得到, 明白, 找到
be alive: 以为, 找到, 或者, 得到, 明白
be born: 以为, 找到, 或者, 明白, 得到
breathe: 以为, 找到, 得到, 或者, 明白
drink: 找到, 以为, 得到, 增加, 或者
eat: 找到, 以为, 吃, 得到, 感觉
swallow: 以为, 找到, 得到, 或者, 感觉
get tired: 得到, 以为, 找到, 或者, 增加
fall asleep: 以为, 找到, 或者, 力量, 明白
wake up: 以为, 找到, 明白, 或者, 得到
get up: 得到, 以为, 找到, 或者, 增加
relax: 以为, 得到, 或者, 找到, 感觉
fall ill: 以为, 找到, 或者, 明白, 感觉
be ill: 以为, 找到, 或者, 明白, 得到
ache: 以为, 找到, 得到, 明白, 或者
cough: 以为, 得到, 或者, 声音, 找到
recover: 得到, 打开, 以为, 理解, 由于
die: 以为, 得到, 找到, 由于, 或者
perish: 以为, 找到, 得到, 或者, 明白
move: 得到, 以为, 增加, 找到, 理解
budge: 以为, 得到, 找到, 明白, 或者
stand up: 以为, 找到, 或者, 得到, 明白
sit down: 以为, 或者, 找到, 明白, 感觉
tumble: 以为, 得到, 找到, 或者, 明白
pace: 以为, 找到, 得到, 或者, 进入
go for a walk: 以为, 或者, 找到, 得到, 地点
rush: 找到, 以为, 得到, 或者, 增加
hurry: 以为, 或者, 得到, 感觉, 明白
dash: 以为, 得到, 找到, 增加, 或者
run: 打开, 得到, 以为, 理解, 增加
jump: 以为, 跳, 得到, 找到, 或者
climb: 以为, 得到, 找到, 或者, 感觉
seesaw: 以为, 找到, 得到, 或者, 感觉
creep: 以为, 得到, 找到, 或者, 明白
swim: 以为, 找到, 得到, 感觉, 或者
dive: 以为, 得到, 找到, 或者, 感觉
drive: 以为, 得到, 找到, 增加, 或者
go: 以为, 得到, 进入, 或者, 找到
go away: 以为, 或者, 找到, 得到, 明白
depart: 以为, 找到, 得到, 或者, 离开
stop: 停止, 以为, 得到, 理解, 由于
go in: 以为, 或者, 得到, 找到, 进入
enter: 以为, 得到, 找到, 进入, 或者
come: 来, 以为, 或者, 一起, 找到
arrive: 以为, 得到, 找到, 或者, 距离
come back: 以为, 或者, 找到, 回来, 来
stay: 找到, 以为, 得到, 或者, 明白
wait: 以为, 得到, 或者, 找到, 出现
wait for: 以为, 或者, 得到, 给, 由于
seek: 得到, 以为, 找到, 给, 或者
look for: 找到, 以为, 或者, 得到, 给
find: 找到, 得到, 给, 以为, 增加
try: 或者, 以为, 得到, 增加, 由于
prepare: 得到, 以为, 找到, 理解, 打开
love: 以为, 找到, 得到, 明白, 感觉
like: 以为, 找到, 给, 由于, 或者
laugh: 以为, 找到, 明白, 得到, 感觉
weep: 以为, 找到, 或者, 明白, 得到
grumble: 以为, 或者, 得到, 感觉, 明白
be annoyed: 以为, 或者, 找到, 得到, 明白
be afraid: 以为, 或者, 找到, 明白, 得到
be afraid of: 以为, 或者, 找到, 明白, 得到
flee: 以为, 得到, 或者, 找到, 明白
escape: 以为, 得到, 找到, 改变, 出现
see: 找到, 以为, 得到, 由于, 给
look at: 以为, 找到, 或者, 得到, 给
watch: 以为, 找到, 进入, 得到, 由于
hear: 以为, 找到, 得到, 明白, 或者
listen: 以为, 或者, 得到, 找到, 明白
taste: 以为, 得到, 找到, 或者, 明白
smell: 以为, 找到, 得到, 感觉, 或者
feel: 以为, 找到, 感到, 感觉, 得到
seem: 以为, 找到, 或者, 感觉, 得到
show: 增加, 得到, 找到, 打开, 以为
be cold: 以为, 或者, 找到, 明白, 得到
do: 以为, 得到, 给, 理解, 找到
can: 以为, 给, 找到, 由于, 为什么
want: 以为, 找到, 得到, 或者, 增加
start: 开始, 打开, 得到, 改变, 增加
finish: 以为, 得到, 找到, 或者, 增加
succeed: 以为, 得到, 或者, 找到, 明白
turn out: 以为, 或者, 找到, 得到, 明白
close: 关闭, 以为, 找到, 得到, 或者
put: 以为, 得到, 找到, 或者, 给
lay: 以为, 找到, 得到, 给, 明白
touch: 得到, 打开, 以为, 增加, 理解
connect: 得到, 打开, 理解, 以为, 增加
hang up: 以为, 或者, 找到, 明白, 得到
pick up: 以为, 找到, 或者, 得到, 给
leave: 以为, 找到, 得到, 离开, 或者
lose: 以为, 得到, 找到, 或者, 增加
make: 得到, 以为, 找到, 增加, 理解
produce: 找到, 得到, 以为, 给, 增加
build: 得到, 增加, 打开, 理解, 以为
mend: 以为, 找到, 或者, 得到, 感觉
improve: 以为, 由于, 找到, 得到, 增加
alter: 改变, 增加, 以为, 得到, 找到
dig: 以为, 得到, 找到, 感觉, 或者
bend: 以为, 找到, 得到, 或者, 明白
spin: 以为, 得到, 找到, 理解, 或者
turn: 以为, 得到, 找到, 增加, 给
turn around: 以为, 或者, 找到, 得到, 出现
raise: 得到, 出现, 增加, 理解, 以为
lift: 找到, 以为, 得到, 或者, 增加
seize: 以为, 找到, 或者, 得到, 明白
hold: 以为, 找到, 得到, 或者, 给
press: 以为, 找到, 新闻, 得到, 增加
push: 得到, 推, 增加, 以为, 理解
scrape: 得到, 打开, 以为, 由于, 改变
lick: 以为, 找到, 得到, 或者, 明白
bite: 以为, 找到, 得到, 或者, 明白
tear off: 以为, 或者, 找到, 得到, 明白
cut off: 以为, 找到, 或者, 得到, 增加
tie: 以为, 找到, 得到, 或者, 明白
break: 以为, 得到, 或者, 找到, 增加
knock: 以为, 得到, 或者, 找到, 明白
hit: 以为, 找到, 得到, 或者, 增加
glue: 以为, 得到, 或者, 理解, 找到
rub: 以为, 找到, 给, 得到, 或者
spread: 以为, 得到, 找到, 理解, 增加
grind: 以为, 或者, 得到, 找到, 感觉
cut: 以为, 找到, 得到, 增加, 或者
jolt: 以为, 得到, 找到, 或者, 打开
shake: 以为, 找到, 得到, 或者, 明白
pour: 以为, 找到, 给, 得到, 或者
fill: 得到, 以为, 找到, 增加, 给
wrap: 得到, 以为, 理解, 增加, 打开
carry: 找到, 以为, 得到, 增加, 或者
drag: 以为, 得到, 找到, 增加, 理解
pull: 得到, 以为, 增加, 或者, 找到
keep: 以为, 找到, 得到, 给, 或者
throw: 得到, 以为, 或者, 出现, 增加
catch: 得到, 以为, 找到, 增加, 出现
grab: 得到, 以为, 找到, 增加, 给
hide: 找到, 隐藏, 以为, 得到, 关闭
divide: 得到, 以为, 找到, 给, 或者
send: 得到, 以为, 增加, 找到, 或者
bring: 以为, 得到, 找到, 给, 或者
add: 增加, 添加, 理解, 得到, 打开
get: 得到, 找到, 增加, 理解, 由于
receive: 得到, 以为, 找到, 给, 由于
take: 以为, 找到, 得到, 给, 或者
choose: 得到, 以为, 找到, 增加, 给
select: 得到, 增加, 找到, 以为, 给
preserve: 得到, 增加, 以为, 改变, 打开
hinder: 以为, 得到, 或者, 找到, 明白
spoil: 以为, 找到, 得到, 或者, 明白
destroy: 以为, 得到, 找到, 理解, 改变
give: 得到, 给, 以为, 找到, 或者
promise: 以为, 得到, 找到, 或者, 明白
praise: 以为, 得到, 找到, 或者, 明白
kiss: 以为, 找到, 得到, 或者, 明白
rock: 找到, 以为, 得到, 或者, 增加
wake: 以为, 找到, 得到, 明白, 感觉
guide: 找到, 以为, 得到, 或者, 地点
teach: 以为, 找到, 得到, 给, 明白
instruct: 找到, 给, 以为, 得到, 由于
bring up: 以为, 得到, 找到, 或者, 给
lead: 以为, 找到, 得到, 或者, 进入
urge: 以为, 找到, 得到, 或者, 明白
let: 给, 增加, 得到, 由于, 打开
invite: 以为, 得到, 找到, 给, 知道
unite: 以为, 找到, 得到, 或者, 给
visit: 以为, 找到, 进入, 由于, 得到
meet: 以为, 找到, 由于, 给, 得到
assemble: 以为, 得到, 找到, 打开, 理解
play: 以为, 找到, 得到, 进入, 由于
sing: 以为, 找到, 得到, 或者, 由于
dance: 找到, 以为, 得到, 地点, 一起
separate: 以为, 找到, 得到, 给, 或者
rescue: 以为, 得到, 找到, 或者, 给
guard: 以为, 给, 找到, 得到, 或者
protect: 以为, 找到, 得到, 给, 由于
defend: 找到, 理解, 得到, 给, 以为
brawl: 以为, 得到, 找到, 明白, 或者
shoot: 以为, 找到, 得到, 或者, 感觉
win: 得到, 以为, 打开, 增加, 理解
annoy: 以为, 找到, 或者, 得到, 明白
beat: 以为, 找到, 得到, 明白, 感觉
kick: 以为, 找到, 得到, 或者, 感觉
sting: 以为, 找到, 得到, 或者, 明白
shove: 以为, 得到, 或者, 找到, 明白
steal: 以为, 得到, 或者, 明白, 感觉
disturb: 以为, 得到, 或者, 给, 理解
bother: 以为, 或者, 明白, 得到, 找到
conceal: 以为, 得到, 或者, 找到, 明白
deceive: 以为, 得到, 找到, 或者, 明白
cheat: 以为, 得到, 找到, 或者, 明白
kill: 以为, 得到, 给, 由于, 杀
dwell: 以为, 找到, 得到, 或者, 明白
gather: 以为, 得到, 找到, 或者, 增加
pick: 以为, 找到, 得到, 给, 或者
hunt: 以为, 找到, 得到, 或者, 感觉
herd: 找到, 以为, 得到, 给, 或者
tie up: 以为, 找到, 或者, 得到, 明白
feed: 以为, 找到, 得到, 增加, 或者
chop: 以为, 找到, 得到, 或者, 明白
ripen: 以为, 得到, 找到, 或者, 明白
cook: 以为, 找到, 得到, 或者, 感觉
bake: 以为, 得到, 找到, 或者, 明白
fry: 以为, 得到, 找到, 或者, 明白
stir: 以为, 或者, 找到, 得到, 明白
knit: 以为, 找到, 得到, 感觉, 或者
sew: 以为, 找到, 感觉, 或者, 得到
dye: 以为, 得到, 或者, 找到, 明白
wash: 洗, 以为, 找到, 或者, 得到
wipe: 以为, 得到, 打开, 或者, 增加
rinse: 以为, 明白, 得到, 找到, 或者
sweep: 以为, 得到, 或者, 找到, 给
bath: 以为, 找到, 得到, 或者, 明白
take off: 以为, 找到, 或者, 得到, 明白
put on: 以为, 或者, 得到, 找到, 给
get dressed: 得到, 找到, 以为, 或者, 增加
decorate: 以为, 找到, 得到, 或者, 增加
say: 以为, 得到, 找到, 或者, 说
speak: 以为, 得到, 找到, 或者, 明白
chat: 找到, 以为, 得到, 增加, 打开
ask: 以为, 得到, 找到, 给, 理解
request: 得到, 改变, 增加, 以为, 理解
tell: 以为, 给, 得到, 由于, 找到
convey: 以为, 得到, 找到, 或者, 给
brag: 以为, 找到, 得到, 或者, 明白
translate: 以为, 得到, 找到, 增加, 打开
think: 以为, 找到, 得到, 理解, 或者
believe: 以为, 找到, 得到, 明白, 或者
notice: 以为, 找到, 得到, 通知, 或者
recognize: 以为, 找到, 得到, 给, 或者
grasp: 以为, 得到, 或者, 找到, 给
understand: 理解, 找到, 以为, 得到, 给
learn: 理解, 得到, 以为, 找到, 打开
know: 以为, 找到, 得到, 知道, 理解
remember: 以为, 找到, 得到, 或者, 由于
forget: 以为, 找到, 得到, 或者, 给
measure: 得到, 找到, 以为, 理解, 增加
calculate: 得到, 理解, 找到, 增加, 计算
read: 得到, 以为, 找到, 理解, 读
draw: 得到, 理解, 以为, 找到, 增加
write: 写, 得到, 理解, 以为, 找到
own: 找到, 以为, 得到, 由于, 给
buy: 找到, 以为, 得到, 进入, 由于
sell: 找到, 以为, 得到, 由于, 或者
pay for: 找到, 以为, 得到, 由于, 给
pay: 以为, 找到, 得到, 或者, 由于
rule: 找到, 以为, 得到, 理解, 由于
endure: 以为, 得到, 或者, 找到, 结束
